Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5a302,5a302_session1_lista_naming_trial001_pepper.wav,1,a,naming,1,pepper,-1,wrong_word,"red pepper, also disfluency",Dec  7 2022 16:50:29,Agnieszka,1
5a302,5a302_session1_lista_naming_trial002_computer.wav,1,a,naming,2,computer,1081,correct,talking to someone in the background,Dec  7 2022 16:54:09,Agnieszka,1
5a302,5a302_session1_lista_naming_trial003_olive.wav,1,a,naming,3,olive,1172,correct,NA,Dec  7 2022 16:55:32,Agnieszka,1
5a302,5a302_session1_lista_naming_trial004_suit.wav,1,a,naming,4,suit,901,correct,NA,Dec  7 2022 16:56:14,Agnieszka,1
5a302,5a302_session1_lista_naming_trial005_hippo.wav,1,a,naming,5,hippo,1206,correct,NA,Dec  7 2022 16:56:52,Agnieszka,1
5a302,5a302_session1_lista_naming_trial006_cork.wav,1,a,naming,6,cork,914,correct,NA,Dec  7 2022 16:57:28,Agnieszka,1
5a302,5a302_session1_lista_naming_trial007_tray.wav,1,a,naming,7,tray,932,correct,NA,Dec  7 2022 16:57:51,Agnieszka,1
5a302,5a302_session1_lista_naming_trial008_clown.wav,1,a,naming,8,clown,830,correct,NA,Dec  7 2022 16:58:46,Agnieszka,1
5a302,5a302_session1_lista_naming_trial009_arm.wav,1,a,naming,9,arm,1310,correct,NA,Dec  7 2022 16:59:02,Agnieszka,1
5a302,5a302_session1_lista_naming_trial010_knife.wav,1,a,naming,10,knife,963,correct,NA,Dec  7 2022 16:59:27,Agnieszka,1
5a302,5a302_session1_lista_naming_trial011_nest.wav,1,a,naming,11,nest,1114,correct,NA,Dec  7 2022 16:59:52,Agnieszka,1
5a302,5a302_session1_lista_naming_trial012_hat.wav,1,a,naming,12,hat,1101,correct,NA,Dec  7 2022 17:00:16,Agnieszka,1
5a302,5a302_session1_lista_naming_trial013_comb.wav,1,a,naming,13,comb,1088,correct,NA,Dec  7 2022 17:00:42,Agnieszka,1
5a302,5a302_session1_lista_naming_trial014_flipper.wav,1,a,naming,14,flipper,1497,correct,laughing,Dec  7 2022 17:01:53,Agnieszka,1
5a302,5a302_session1_lista_naming_trial015_pineapple.wav,1,a,naming,15,pineapple,979,correct,NA,Dec  7 2022 17:03:23,Agnieszka,1
5a302,5a302_session1_lista_naming_trial016_bullet.wav,1,a,naming,16,bullet,1193,correct,NA,Dec  7 2022 17:04:25,Agnieszka,1
5a302,5a302_session1_lista_naming_trial017_glove.wav,1,a,naming,17,glove,867,correct,NA,Dec  7 2022 17:05:55,Agnieszka,1
5a302,5a302_session1_lista_naming_trial018_island.wav,1,a,naming,18,island,871,correct,NA,Dec  7 2022 17:11:28,Agnieszka,1
5a302,5a302_session1_lista_naming_trial019_key.wav,1,a,naming,19,key,953,correct,NA,Dec  7 2022 17:11:44,Agnieszka,1
5a302,5a302_session1_lista_naming_trial020_beak.wav,1,a,naming,20,beak,1978,correct,NA,Dec  7 2022 17:11:57,Agnieszka,1
