Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5cf66,5cf66_session1_lista_naming_trial001_net.wav,1,a,naming,1,net,906,correct,NA,Dec  8 2022 15:56:36,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial002_submarine.wav,1,a,naming,2,submarine,1062,correct,NA,Dec  8 2022 15:57:30,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial003_pear.wav,1,a,naming,3,pear,803,correct,NA,Dec  8 2022 15:57:51,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial004_soap.wav,1,a,naming,4,soap,-1,no_resp,NA,Dec  8 2022 15:58:02,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial005_ghost.wav,1,a,naming,5,ghost,810,correct,NA,Dec  8 2022 15:58:33,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial006_wave.wav,1,a,naming,6,wave,805,correct,NA,Dec  8 2022 15:58:56,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial007_triangle.wav,1,a,naming,7,triangle,741,correct,NA,Dec  8 2022 16:04:50,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial008_lung.wav,1,a,naming,8,lung,799,correct,NA,Dec  8 2022 16:05:18,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial009_whale.wav,1,a,naming,9,whale,817,correct,NA,Dec  8 2022 16:05:45,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial010_drum.wav,1,a,naming,10,drum,779,correct,NA,Dec  8 2022 16:06:05,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial011_olive.wav,1,a,naming,11,olive,788,correct,NA,Dec  8 2022 16:06:30,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial012_tattoo.wav,1,a,naming,12,tattoo,921,correct,NA,Dec  8 2022 16:06:55,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial013_fairy.wav,1,a,naming,13,fairy,907,correct,NA,Dec  8 2022 16:07:54,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial014_shield.wav,1,a,naming,14,shield,720,correct,NA,Dec  8 2022 16:08:10,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial015_tiger.wav,1,a,naming,15,tiger,762,correct,NA,Dec  8 2022 16:10:40,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial016_limo.wav,1,a,naming,16,limo,818,correct,NA,Dec  8 2022 16:11:06,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial017_plumber.wav,1,a,naming,17,plumber,1157,correct,NA,Dec  8 2022 16:11:27,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial018_ruler.wav,1,a,naming,18,ruler,975,correct,NA,Dec  8 2022 16:11:55,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial019_queen.wav,1,a,naming,19,queen,797,correct,NA,Dec  8 2022 16:12:19,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial020_medal.wav,1,a,naming,20,medal,828,correct,NA,Dec  8 2022 16:14:04,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial021_squirrel.wav,1,a,naming,21,squirrel,785,correct,NA,Dec  8 2022 16:14:47,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial022_tree.wav,1,a,naming,22,tree,772,correct,NA,Dec  8 2022 16:15:01,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial023_suitcase.wav,1,a,naming,23,suitcase,726,correct,NA,Dec  8 2022 16:15:12,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial024_shoe.wav,1,a,naming,24,shoe,661,correct,NA,Dec  8 2022 16:15:36,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial025_boxer.wav,1,a,naming,25,boxer,879,correct,NA,Dec  8 2022 16:17:31,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial026_bench.wav,1,a,naming,26,bench,1054,correct,NA,Dec  8 2022 16:17:56,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial027_apple.wav,1,a,naming,27,apple,750,correct,NA,Dec  8 2022 16:18:18,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial028_elbow.wav,1,a,naming,28,elbow,1068,correct,NA,Dec  8 2022 16:18:59,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial029_gym.wav,1,a,naming,29,gym,1088,correct,NA,Dec  8 2022 16:19:10,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial030_wall.wav,1,a,naming,30,wall,920,correct,NA,Dec  8 2022 16:20:19,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial031_tongue.wav,1,a,naming,31,tongue,796,correct,NA,Dec  8 2022 16:20:58,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial032_tomato.wav,1,a,naming,32,tomato,953,correct,NA,Dec  8 2022 16:21:09,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial033_caterpillar.wav,1,a,naming,33,caterpillar,909,correct,NA,Dec  8 2022 16:21:36,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial034_kangaroo.wav,1,a,naming,34,kangaroo,880,correct,NA,Dec  8 2022 16:22:03,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial035_butter.wav,1,a,naming,35,butter,1051,correct,NA,Dec  8 2022 16:22:17,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial036_book.wav,1,a,naming,36,book,906,correct,NA,Dec  8 2022 16:22:35,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial037_puppet.wav,1,a,naming,37,puppet,956,correct,NA,Dec  8 2022 16:22:52,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial038_fox.wav,1,a,naming,38,fox,808,correct,NA,Dec  8 2022 16:23:08,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial039_judge.wav,1,a,naming,39,judge,969,correct,NA,Dec  8 2022 16:23:19,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial040_owl.wav,1,a,naming,40,owl,855,correct,NA,Dec  8 2022 16:23:29,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial041_thumb.wav,1,a,naming,41,thumb,795,correct,NA,Dec  8 2022 16:24:04,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial042_kite.wav,1,a,naming,42,kite,1007,correct,NA,Dec  8 2022 16:24:42,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial043_bracelet.wav,1,a,naming,43,bracelet,874,correct,NA,Dec  8 2022 16:25:04,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial044_bike.wav,1,a,naming,44,bike,818,correct,NA,Dec  8 2022 16:25:25,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial045_hat.wav,1,a,naming,45,hat,757,correct,NA,Dec  8 2022 16:25:45,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial046_nest.wav,1,a,naming,46,nest,860,correct,NA,Dec  8 2022 16:26:07,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial047_bull.wav,1,a,naming,47,bull,-1,wrong_word,'buffalo',Dec  8 2022 16:26:25,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial048_rose.wav,1,a,naming,48,rose,803,correct,NA,Dec  8 2022 16:27:05,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial049_windmill.wav,1,a,naming,49,windmill,976,correct,NA,Dec  8 2022 16:27:16,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial050_glove.wav,1,a,naming,50,glove,944,correct,NA,Dec  8 2022 16:29:49,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial051_fridge.wav,1,a,naming,51,fridge,870,correct,NA,Dec  8 2022 16:30:06,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial052_saw.wav,1,a,naming,52,saw,890,correct,NA,Dec  8 2022 16:30:17,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial053_heel.wav,1,a,naming,53,heel,1565,correct,NA,Dec  8 2022 16:30:32,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial054_doughnut.wav,1,a,naming,54,doughnut,922,correct,NA,Dec  8 2022 16:30:46,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial055_train.wav,1,a,naming,55,train,912,correct,NA,Dec  8 2022 16:31:06,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial056_bus.wav,1,a,naming,56,bus,944,correct,NA,Dec  8 2022 16:31:46,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial057_potato.wav,1,a,naming,57,potato,922,correct,NA,Dec  8 2022 16:32:05,Agnieszka,1
5cf66,5cf66_session1_lista_naming_trial058_onion.wav,1,a,naming,58,onion,898,correct,NA,Dec  8 2022 16:32:21,Agnieszka,1
