Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
5f00d,5f00d_session2_listb_naming_trial001_spoon.wav,2,b,naming,1,spoon,771,correct,NA,Nov 23 2022 21:32:49,Shereen,1
5f00d,5f00d_session2_listb_naming_trial002_sink.wav,2,b,naming,2,sink,864,correct,NA,Nov 23 2022 21:32:55,Shereen,1
5f00d,5f00d_session2_listb_naming_trial003_strawberry.wav,2,b,naming,3,strawberry,737,correct,NA,Nov 23 2022 21:33:03,Shereen,1
5f00d,5f00d_session2_listb_naming_trial004_beard.wav,2,b,naming,4,beard,1055,correct,NA,Nov 23 2022 21:33:10,Shereen,1
5f00d,5f00d_session2_listb_naming_trial005_king.wav,2,b,naming,5,king,1045,correct,NA,Nov 23 2022 21:33:12,Shereen,1
5f00d,5f00d_session2_listb_naming_trial006_bedroom.wav,2,b,naming,6,bedroom,1501,correct,NA,Nov 23 2022 21:33:19,Shereen,1
5f00d,5f00d_session2_listb_naming_trial007_dog.wav,2,b,naming,7,dog,977,correct,NA,Nov 23 2022 21:33:23,Shereen,1
5f00d,5f00d_session2_listb_naming_trial008_feather.wav,2,b,naming,8,feather,1041,correct,NA,Nov 23 2022 21:33:27,Shereen,1
5f00d,5f00d_session2_listb_naming_trial009_ankle.wav,2,b,naming,9,ankle,1045,correct,NA,Nov 23 2022 21:33:31,Shereen,1
5f00d,5f00d_session2_listb_naming_trial010_microphone.wav,2,b,naming,10,microphone,938,correct,NA,Nov 23 2022 21:33:35,Shereen,1
5f00d,5f00d_session2_listb_naming_trial011_scarecrow.wav,2,b,naming,11,scarecrow,-1,no_resp,NA,Nov 23 2022 21:33:38,Shereen,1
5f00d,5f00d_session2_listb_naming_trial012_watch.wav,2,b,naming,12,watch,1369,correct,NA,Nov 23 2022 21:33:42,Shereen,1
5f00d,5f00d_session2_listb_naming_trial013_pilot.wav,2,b,naming,13,pilot,1045,correct,NA,Nov 23 2022 21:33:46,Shereen,1
5f00d,5f00d_session2_listb_naming_trial014_bin.wav,2,b,naming,14,bin,1006,correct,NA,Nov 23 2022 21:33:51,Shereen,1
5f00d,5f00d_session2_listb_naming_trial015_mask.wav,2,b,naming,15,mask,840,correct,NA,Nov 23 2022 21:33:55,Shereen,1
5f00d,5f00d_session2_listb_naming_trial016_caravan.wav,2,b,naming,16,caravan,987,correct,NA,Nov 23 2022 21:33:59,Shereen,1
5f00d,5f00d_session2_listb_naming_trial017_telephone.wav,2,b,naming,17,telephone,923,correct,NA,Nov 23 2022 21:34:03,Shereen,1
5f00d,5f00d_session2_listb_naming_trial018_finger.wav,2,b,naming,18,finger,938,correct,NA,Nov 23 2022 21:34:07,Shereen,1
5f00d,5f00d_session2_listb_naming_trial019_skateboard.wav,2,b,naming,19,skateboard,835,correct,NA,Nov 23 2022 21:34:12,Shereen,1
5f00d,5f00d_session2_listb_naming_trial020_lab.wav,2,b,naming,20,lab,889,correct,NA,Nov 23 2022 21:34:15,Shereen,1
5f00d,5f00d_session2_listb_naming_trial021_back.wav,2,b,naming,21,back,1136,correct,NA,Nov 23 2022 21:34:21,Shereen,1
5f00d,5f00d_session2_listb_naming_trial022_cannon.wav,2,b,naming,22,cannon,1001,correct,NA,Nov 23 2022 21:34:28,Shereen,1
5f00d,5f00d_session2_listb_naming_trial023_lion.wav,2,b,naming,23,lion,786,correct,NA,Nov 23 2022 21:34:32,Shereen,1
5f00d,5f00d_session2_listb_naming_trial024_roof.wav,2,b,naming,24,roof,1305,correct,NA,Nov 23 2022 21:35:02,Shereen,1
5f00d,5f00d_session2_listb_naming_trial025_printer.wav,2,b,naming,25,printer,1183,correct,NA,Nov 23 2022 21:35:06,Shereen,1
5f00d,5f00d_session2_listb_naming_trial026_shirt.wav,2,b,naming,26,shirt,1114,correct,NA,Nov 23 2022 21:35:09,Shereen,1
5f00d,5f00d_session2_listb_naming_trial027_pool.wav,2,b,naming,27,pool,-1,wrong_word,NA,Nov 23 2022 21:35:16,Shereen,1
5f00d,5f00d_session2_listb_naming_trial028_calculator.wav,2,b,naming,28,calculator,923,correct,NA,Nov 23 2022 21:35:21,Shereen,1
5f00d,5f00d_session2_listb_naming_trial029_honey.wav,2,b,naming,29,honey,830,correct,NA,Nov 23 2022 21:35:24,Shereen,1
5f00d,5f00d_session2_listb_naming_trial030_heart.wav,2,b,naming,30,heart,805,correct,NA,Nov 23 2022 21:35:28,Shereen,1
5f00d,5f00d_session2_listb_naming_trial031_duck.wav,2,b,naming,31,duck,947,correct,NA,Nov 23 2022 21:35:33,Shereen,1
5f00d,5f00d_session2_listb_naming_trial032_football.wav,2,b,naming,32,football,1065,correct,NA,Nov 23 2022 21:35:37,Shereen,1
5f00d,5f00d_session2_listb_naming_trial033_moustache.wav,2,b,naming,33,moustache,1109,correct,NA,Nov 23 2022 21:35:40,Shereen,1
5f00d,5f00d_session2_listb_naming_trial034_foot.wav,2,b,naming,34,foot,1266,correct,NA,Nov 23 2022 21:35:45,Shereen,1
5f00d,5f00d_session2_listb_naming_trial035_glasses.wav,2,b,naming,35,glasses,1153,correct,NA,Nov 23 2022 21:35:49,Shereen,1
5f00d,5f00d_session2_listb_naming_trial036_dolphin.wav,2,b,naming,36,dolphin,918,correct,NA,Nov 23 2022 21:35:53,Shereen,1
5f00d,5f00d_session2_listb_naming_trial037_farm.wav,2,b,naming,37,farm,1050,correct,NA,Nov 23 2022 21:35:58,Shereen,1
5f00d,5f00d_session2_listb_naming_trial038_waiter.wav,2,b,naming,38,waiter,835,correct,NA,Nov 23 2022 21:36:02,Shereen,1
5f00d,5f00d_session2_listb_naming_trial039_iron.wav,2,b,naming,39,iron,1114,correct,NA,Nov 23 2022 21:36:05,Shereen,1
5f00d,5f00d_session2_listb_naming_trial040_torch.wav,2,b,naming,40,torch,1104,correct,NA,Nov 23 2022 21:36:09,Shereen,1
5f00d,5f00d_session2_listb_naming_trial041_fruit.wav,2,b,naming,41,fruit,982,correct,NA,Nov 23 2022 21:36:14,Shereen,1
5f00d,5f00d_session2_listb_naming_trial042_spider.wav,2,b,naming,42,spider,678,correct,NA,Nov 23 2022 21:36:21,Shereen,1
5f00d,5f00d_session2_listb_naming_trial043_fan.wav,2,b,naming,43,fan,746,correct,NA,Nov 23 2022 21:36:26,Shereen,1
5f00d,5f00d_session2_listb_naming_trial044_nun.wav,2,b,naming,44,nun,840,correct,NA,Nov 23 2022 21:36:31,Shereen,1
5f00d,5f00d_session2_listb_naming_trial045_swimming.wav,2,b,naming,45,swimming,1006,correct,NA,Nov 23 2022 21:36:35,Shereen,1
5f00d,5f00d_session2_listb_naming_trial046_diamond.wav,2,b,naming,46,diamond,869,correct,NA,Nov 23 2022 21:36:53,Shereen,1
5f00d,5f00d_session2_listb_naming_trial047_pirate.wav,2,b,naming,47,pirate,820,correct,NA,Nov 23 2022 21:36:57,Shereen,1
5f00d,5f00d_session2_listb_naming_trial048_pumpkin.wav,2,b,naming,48,pumpkin,928,correct,NA,Nov 23 2022 21:37:02,Shereen,1
5f00d,5f00d_session2_listb_naming_trial049_desert.wav,2,b,naming,49,desert,928,correct,NA,Nov 23 2022 21:37:06,Shereen,1
