Participant_ID,File_Name,Session,List,Type_Trial,Trial_Nbr,Target,RT,Response_Trial,Comment,Date_Correction,Assessor_Name,Processed
63654,63654_session2_listb_naming_trial001_hair.wav,2,b,naming,1,hair,845,correct,NA,Jan  2 2023 10:39:57,Agnieszka,1
63654,63654_session2_listb_naming_trial002_cloud.wav,2,b,naming,2,cloud,755,correct,NA,Jan  2 2023 10:40:23,Agnieszka,1
63654,63654_session2_listb_naming_trial003_sock.wav,2,b,naming,3,sock,792,correct,NA,Jan  2 2023 10:40:50,Agnieszka,1
63654,63654_session2_listb_naming_trial004_condom.wav,2,b,naming,4,condom,854,correct,NA,Jan  2 2023 10:41:08,Agnieszka,1
63654,63654_session2_listb_naming_trial005_thermometer.wav,2,b,naming,5,thermometer,833,correct,NA,Jan  2 2023 10:41:45,Agnieszka,1
63654,63654_session2_listb_naming_trial006_bible.wav,2,b,naming,6,bible,850,correct,NA,Jan  2 2023 10:42:05,Agnieszka,1
63654,63654_session2_listb_naming_trial007_umbrella.wav,2,b,naming,7,umbrella,979,uncertain,the word is correct but there seems to be a short "mm" before speaking?,Jan  2 2023 10:43:09,Agnieszka,1
63654,63654_session2_listb_naming_trial008_back.wav,2,b,naming,8,back,816,correct,NA,Jan  2 2023 10:43:30,Agnieszka,1
63654,63654_session2_listb_naming_trial009_screwdriver.wav,2,b,naming,9,screwdriver,925,correct,NA,Jan  2 2023 10:43:48,Agnieszka,1
63654,63654_session2_listb_naming_trial010_vein.wav,2,b,naming,10,vein,839,correct,NA,Jan  2 2023 10:43:56,Agnieszka,1
63654,63654_session2_listb_naming_trial011_cowboy.wav,2,b,naming,11,cowboy,702,correct,NA,Jan  2 2023 10:44:11,Agnieszka,1
63654,63654_session2_listb_naming_trial012_printer.wav,2,b,naming,12,printer,912,correct,NA,Jan  2 2023 10:44:28,Agnieszka,1
63654,63654_session2_listb_naming_trial013_dentist.wav,2,b,naming,13,dentist,1225,correct,NA,Jan  2 2023 10:44:43,Agnieszka,1
63654,63654_session2_listb_naming_trial014_fire.wav,2,b,naming,14,fire,818,correct,NA,Jan  2 2023 10:46:07,Agnieszka,1
63654,63654_session2_listb_naming_trial015_stapler.wav,2,b,naming,15,stapler,753,correct,NA,Jan  2 2023 10:46:24,Agnieszka,1
63654,63654_session2_listb_naming_trial016_chair.wav,2,b,naming,16,chair,688,correct,NA,Jan  2 2023 10:46:43,Agnieszka,1
